date,time,dir,delta,body,peak,trough,vol,vps,dz,score,grade,trend_ok,gap,outcome,pnl,mfe,mae
2026-03-26,10:06:50,BEAR,471,0.75,626,0,3431,81.0,0.77,40,C,True,8,WIN,1.5,9.5,-2.5
2026-03-26,10:11:31,BULL,-175,3.0,25,-248,2829,66.0,0.69,40,C,True,8,WIN,2.25,10.25,-2.0
2026-03-26,10:37:46,BULL,-188,3.75,9,-357,5080,51.2,0.27,45,C,True,8,WIN,1.5,9.5,-4.0
2026-03-26,12:22:25,BULL,-239,1.75,38,-525,6967,49.6,0.48,45,C,True,8,LOSS,-6.5,1.5,-7.25
2026-03-26,13:00:36,BEAR,392,2.0,543,0,7718,42.1,0.22,40,C,True,8,WIN,8.5,16.5,-1.5
2026-03-26,14:00:21,BULL,-548,3.25,46,-1075,7040,84.2,0.16,65,A,True,12,LOSS,-8.0,3.0,-8.0
2026-03-26,14:40:22,BEAR,124,4.5,268,-1,4830,37.1,1.13,60,B,True,10,LOSS,-1.25,2.0,-6.25
2026-03-27,09:45:23,BEAR,1986,0.5,2623,0,26126,82.9,0.76,50,B,True,10,WIN,19.5,29.5,-0.5
2026-03-27,11:31:14,BEAR,532,3.5,1105,-117,34008,66.6,0.3,55,B,True,10,WIN,0.25,10.25,-2.75
2026-03-27,12:58:37,BULL,-370,4.75,271,-1580,23826,47.6,0.64,60,B,True,10,LOSS,-1.5,8.5,-10.0
2026-03-27,09:30:02,BULL,-123,4.25,18,-237,2879,562.9,0.74,60,B,True,10,LOSS,-8.0,0.5,-12.25
2026-03-27,09:41:19,BEAR,208,4.75,312,-115,6634,63.7,0.42,45,C,True,8,LOSS,-7.75,0.25,-8.0
2026-03-27,09:48:40,BEAR,804,4.5,944,-3,6008,87.6,1.18,65,A,True,12,WIN,22.5,34.5,-0.75
2026-03-27,10:02:57,BEAR,380,3.5,647,-57,4498,120.5,0.51,55,B,True,10,LOSS,-3.75,6.25,-5.25
2026-03-27,10:03:35,BULL,-196,3.25,121,-353,10206,75.9,0.39,40,C,True,8,LOSS,-7.0,1.0,-8.75
2026-03-27,10:12:07,BEAR,439,3.25,683,-47,7271,86.8,0.96,50,B,True,10,LOSS,-6.5,3.5,-9.5
2026-03-27,10:50:41,BEAR,138,2.5,427,-94,5552,73.1,0.51,45,C,True,8,LOSS,-1.75,6.25,-4.25
2026-03-27,11:00:04,BEAR,167,4.25,267,-38,2631,73.8,0.47,45,C,True,8,LOSS,-6.5,1.5,-9.25
2026-03-27,11:37:01,BEAR,535,2.5,706,0,3695,103.7,1.49,55,B,True,10,WIN,5.25,15.25,-1.5
2026-03-27,12:52:17,BEAR,127,4.0,468,-163,11043,29.1,0.83,50,B,True,10,LOSS,-5.0,5.0,-9.0
2026-03-27,13:07:13,BEAR,107,4.25,141,-95,1885,284.9,0.88,45,C,True,8,WIN,31.5,39.5,-1.0
2026-03-27,14:20:32,BEAR,406,3.25,1460,0,11820,54.4,0.11,50,B,True,10,LOSS,-6.0,4.0,-8.75
