trs_t,div_t,dcl_min,dz_min,gate,n_sigs,spd,wr,pnl,max_dd,pf,quality
0.55,0.0,0,0.0,at_extreme,145,7.2,0.421,37.0,-54.8,1.11,41.1
0.55,0.0,2,0.5,at_extreme,128,6.4,0.438,36.2,-42.8,1.13,41.1
0.55,0.2,0,0.0,none,40,2.0,0.425,29.0,-36.8,1.31,37.9
0.55,0.1,0,0.0,trend_cons_60,40,2.0,0.425,29.0,-36.8,1.31,37.9
0.55,0.15,0,0.0,none,40,2.0,0.425,29.0,-36.8,1.31,37.9
0.55,0.15,0,0.0,trend_cons_60,40,2.0,0.425,29.0,-36.8,1.31,37.9
0.55,0.05,0,0.0,none,40,2.0,0.425,29.0,-36.8,1.31,37.9
0.55,0.05,0,0.0,trend_cons_60,40,2.0,0.425,29.0,-36.8,1.31,37.9
0.55,0.1,0,0.0,none,40,2.0,0.425,29.0,-36.8,1.31,37.9
0.55,0.2,0,0.0,trend_cons_60,40,2.0,0.425,29.0,-36.8,1.31,37.9
0.55,0.0,0,1.0,none,140,7.0,0.393,32.0,-74.2,1.1,35.2
0.55,0.0,0,1.0,trend_cons_60,140,7.0,0.393,32.0,-74.2,1.1,35.2
0.55,0.0,2,1.5,at_extreme,89,4.5,0.461,27.5,-32.8,1.15,31.5
0.55,0.0,3,0.5,at_extreme,112,5.6,0.446,26.0,-32.0,1.11,28.8
0.55,0.1,0,0.5,trend_cons_60,38,1.9,0.368,20.0,-36.2,1.23,24.5
0.55,0.1,0,0.5,none,38,1.9,0.368,20.0,-36.2,1.23,24.5
0.55,0.15,0,0.5,trend_cons_60,38,1.9,0.368,20.0,-36.2,1.23,24.5
0.55,0.2,0,0.5,trend_cons_60,38,1.9,0.368,20.0,-36.2,1.23,24.5
0.55,0.2,0,0.5,none,38,1.9,0.368,20.0,-36.2,1.23,24.5
0.55,0.05,0,0.5,none,38,1.9,0.368,20.0,-36.2,1.23,24.5
0.55,0.05,0,0.5,trend_cons_60,38,1.9,0.368,20.0,-36.2,1.23,24.5
0.55,0.15,0,0.5,none,38,1.9,0.368,20.0,-36.2,1.23,24.5
0.5,0.05,0,0.0,at_extreme,29,1.4,0.414,13.8,-21.8,1.24,17.1
0.5,0.15,0,0.0,at_extreme,29,1.4,0.414,13.8,-21.8,1.24,17.1
0.5,0.1,0,0.0,at_extreme,29,1.4,0.414,13.8,-21.8,1.24,17.1
0.5,0.2,0,0.0,at_extreme,29,1.4,0.414,13.8,-21.8,1.24,17.1
0.55,0.0,0,1.5,none,116,5.8,0.414,14.8,-65.5,1.05,15.6
0.55,0.0,0,1.5,trend_cons_60,116,5.8,0.414,14.8,-65.5,1.05,15.6
0.45,0.1,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.35,0.2,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.2,0.05,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.25,0.1,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.4,0.15,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.2,0.2,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.4,0.1,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.35,0.1,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.3,0.2,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.3,0.15,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.25,0.15,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.45,0.05,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.35,0.05,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.4,0.05,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.3,0.05,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.2,0.15,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.4,0.2,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.25,0.05,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.45,0.15,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.35,0.15,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.2,0.1,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.25,0.2,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.45,0.2,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.3,0.1,2,0.0,at_extreme,20,1.0,0.5,10.2,-12.2,1.3,13.3
0.5,0.15,0,0.0,vol_climax,23,1.1,0.391,10.2,-16.0,1.28,13.1
0.5,0.1,0,0.0,vol_climax,23,1.1,0.391,10.2,-16.0,1.28,13.1
0.5,0.05,0,0.0,vol_climax,23,1.1,0.391,10.2,-16.0,1.28,13.1
0.5,0.2,0,0.0,vol_climax,23,1.1,0.391,10.2,-16.0,1.28,13.1
0.55,0.05,0,1.5,trend_cons_60,29,1.4,0.379,10.8,-22.2,1.18,12.7
