time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,VIX · TVC: close
1771343400,6794.29,6799.39,6788.09,6796.95,32865060,51266673.25,44.12016185457987,35.412001709065066,,,,,22.22
1771343700,6796.91,6803.43,6794.51,6803.43,31621440,51279708.85,47.19796047406473,36.267788736987946,,,,,22.04
1771344000,6803.72,6815.85,6802.77,6813.34,35361210,51283581.65,51.58941809446792,38.08241234649406,,,,,21.72
1771344300,6813.32,6829.35,6812.91,6828.91,34098110,51329445.05,57.56140247069052,40.528815570080724,,,,,21.29
1771344600,6828.9,6843.33,6828.64,6840.85,35266100,51371761.9,61.48519848375628,42.47144155554603,,,,,21
1771344900,6840.86,6846.6,6837.79,6845.6,32197200,51407378.2,62.952691445205154,44.687365709011566,,,,,20.84
1771345200,6845.3,6849.56,6841.23,6848.5,31611620,51422431.2,63.858107770822166,47.063782197365164,,,,,20.77
1771345500,6848.49,6848.88,6833.73,6834.1,30840360,51443396.35,56.4771366465476,47.86098524537183,,,,,21.06
1771345800,6834.26,6836.47,6826.91,6836.11,32042100,51469113.7,57.22041633186672,49.144027949330614,,,,,21.04
1771346100,6835.74,6845.71,6834.09,6842.46,29667530,51491623.75,59.56953977902257,50.70043254450751,,,,,20.82
1771346400,6842.52,6843.15,6836.05,6836.05,24353370,51424941.45,56.21385146594138,52.289342052675934,,,,,20.9
1771346700,6836.06,6839.56,6833.58,6834.73,22746750,51383013.8,55.52025099964741,53.8669822567152,,,,,20.94
1771347000,6834.84,6842.36,6834.84,6842.36,21557850,51347202.5,58.69292715960711,55.383427168354906,,,,,20.69
1771347300,6842.23,6847.87,6839.2,6842.73,24953280,51306004.45,58.846224623359426,56.52180625711277,,,,,20.64
1771347600,6842.74,6843.08,6834.02,6838.02,23455050,51268251.45,55.997296603735904,57.370173024909626,,,,,20.8
1771347900,6837.99,6841.35,6835.18,6835.18,22359460,51209222.75,54.290549307536494,57.87678651301475,,,,,20.76
1771348200,6835.24,6836.55,6826.95,6830.84,23536220,51146526.4,51.697403331551484,57.88449974423501,,,,,20.91
1771348500,6830.71,6833.68,6828.09,6832.16,24401870,51083150.9,52.441450072641075,57.51878885866005,,,,,20.86
1771348800,6831.97,6832.77,6823.25,6828.78,24402860,51010360.75,50.304643227957364,56.72017776896013,,,,,21.01
1771349100,6828.84,6839.12,6828.11,6839.12,22778700,50902863.8,56.186172825510546,56.236855010410515,,,,,20.72
1771349400,6839.51,6840.79,6828.51,6835.52,25253880,50792290.7,53.79883441319407,55.51833548486565,,,,,20.82
1771349700,6835.37,6838.29,6832.56,6834.15,20855260,50634853.5,52.87804008674717,55.26125715916562,,,,,20.82
1771350000,6834.29,6834.29,6818.86,6818.86,26335790,50455536.45,43.8562474897177,54.3066736704407,,,,,21.13
1771350300,6818.79,6823.9,6814.14,6821.47,24570090,50068181.9,45.56360531202658,53.306249779940984,,,,,21.05
1771350600,6821.16,6824.78,6809.68,6812.48,23967800,49101090.4,40.94483748831052,52.215605924395916,,,,,21.37
1771350900,6812.53,6828.82,6811.53,6828.2,23417740,46557026.1,50.410944694895186,51.850655474056474,,,,,20.89
1771351200,6828.28,6829.12,6821.9,6825.25,20638780,45825117.79,48.829161440968356,51.14610077986799,,,,,20.89
1771351500,6825.38,6826.12,6819.46,6821.38,20030310,45548528.14,46.756457061348684,50.28254595401008,,,,,21.02
1771351800,6821.37,6825.44,6816.75,6821.46,20629190,45328911.65,46.80672354967011,49.62607645014824,,,,,20.93
1771352100,6821.56,6823.67,6817.63,6820.73,18459910,45082840.85,46.376467661361026,49.060784903992854,,,,,21
1771352400,6820.84,6842.83,6820.11,6838.78,32429490,44943903.25,56.92092004134715,49.43389324040684,,,,,20.55
1771352700,6838.57,6842.76,6832.99,6841.36,22444550,44784115.85,58.186564284612146,49.84425854126191,,,,,20.38
1771353000,6841.51,6846.98,6838.83,6845.29,25297010,44601670.85,60.1091091840701,50.5445775381271,,,,,20.3
1771353300,6845.27,6851.4,6841.24,6851.4,21330860,44418424.75,62.96051432276532,51.0284590736453,,,,,20.23
1771353600,6851.63,6858.59,6851.21,6854.27,22470210,44274752.25,64.25307015325558,51.7751901979354,,,,,20.14
1771353900,6854.33,6857.18,6853.29,6856.82,21718690,44156366.85,65.40812198030555,52.670196047475294,,,,,20.15
1771354200,6856.8,6861.96,6854.99,6861.59,22351270,44055091.4,67.52215977041485,54.360618353239374,,,,,19.99
1771354500,6861.79,6865.17,6857.17,6858.49,21473520,43940581.2,64.75252005116462,55.73125512032066,,,,,20.06
1771354800,6858.88,6862.4,6857.06,6861.56,22158940,43830141.45,66.22982981387034,57.53732600071779,,,,,19.96
1771355100,6861.59,6862.83,6856.89,6857.83,23619950,43704385.95,62.78660307242115,58.4213015991125,,,,,20.04
1771355400,6857.96,6860.15,6854.61,6860,23232020,43540896.05,63.960490471613944,59.50211081558719,,,,,20
1771355700,6860.06,6860.39,6856.47,6857.15,21041280,43371495.1,61.228672374087246,60.5358404807828,,,,,20.05
1771356000,6857.14,6863.85,6856.52,6863.6,21125620,43206859.75,64.88413921694271,61.82708445701656,,,,,19.88
1771356300,6863.35,6863.56,6856.97,6857.11,25192700,43076893.35,58.869718541024454,62.71945951984966,,,,,20
1771356600,6857.55,6863.81,6856.38,6863.81,24355890,42920709.85,62.71240071682623,63.13313671095532,,,,,19.87
1771356900,6864.16,6866.73,6861,6863.14,23038590,42765779.9,62.08771276615661,63.411790173922775,,,,,19.87
1771357200,6863.28,6866.99,6862.65,6865.42,23233050,42624115.85,63.42296385791468,63.64849407919739,,,,,19.78
