trade_date,time_et_str,direction,bar_idx,close,delta,outcome,pnl,bars_held,max_fav,is_swing_high,is_swing_low,bars_since_swing_high,bars_since_swing_low,cvd_price_div_5,cvd_price_div_8,price_trend_5,price_trend_8,trend_consistency_5,trend_bars,delta_cluster_len,delta_cluster_sum,delta_zscore,delta_percentile,vol_rate_zscore,is_volume_climax,is_at_extreme_10,is_at_extreme_20,bar_position_in_range_20,body_ratio,trend_reversal_score,paradigm,lis,svb,lis_dist
2026-03-12,12:07,BULL,353,6701.25,-421,LOSS,-7.25,2,0.75,0.0,0.0,3.0,5.0,0.0,0.0,-10.25,-5.25,0.6,3.0,3.0,-1154.0,-1.9457708377119183,0.8,3.947428110095788,1.0,-1.0,-1.0,0.0,1.0,0.5897180558474612,AG-LIS,6795.0,0.85,93.75
2026-03-12,12:20,BEAR,365,6717.0,793,LOSS,-8.0,2,0.0,0.0,0.0,15.0,1.0,0.0,0.0,8.0,17.75,0.8,1.0,10.0,3107.0,2.1086955389872575,1.0,0.33689089227858304,0.0,1.0,0.0,0.9230769230769231,0.8,0.5505797025991506,AG-LIS,6791.0,1.32,74.0
2026-03-12,12:26,BULL,374,6702.5,-902,WIN,8.25,11,16.25,0.0,0.0,6.0,10.0,0.0,0.0,-18.0,-19.5,1.0,6.0,7.0,-2113.0,-2.2601508873729794,0.9666666666666667,0.23634850956535686,0.0,-1.0,0.0,0.2620689655172414,0.6,0.6006767258248653,AG-LIS,6794.0,1.06,91.5
2026-03-12,13:04,BEAR,401,6713.25,1331,WIN,9.25,9,17.25,0.0,0.0,8.0,6.0,0.0,0.0,14.0,9.75,0.8,4.0,2.0,1335.0,3.523144310278482,1.0,8.419760065479593,1.0,1.0,0.0,0.7555555555555555,0.95,0.6699999999999999,AG-LIS,6790.0,0.95,76.75
2026-03-12,14:41,BULL,451,6690.75,-1464,LOSS,-0.75,3,7.25,0.0,0.0,4.0,6.0,0.0,0.0,-10.25,-8.0,0.6,1.0,5.0,-2596.0,-3.6425699943020593,1.0,-1.4308877135253222,0.0,-1.0,-1.0,0.0,0.15,0.5700000000000001,BOFA-PURE,,1.18,
2026-03-12,15:56,BULL,485,6674.75,-6924,EXPIRED,0.0,0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,-9.25,-12.25,0.6,2.0,3.0,-7858.0,-17.643482201922602,1.0,5.657097703975812,1.0,-1.0,-1.0,0.0,0.7,0.6599999999999999,AG-PURE,6683.0,1.59,8.25
2026-03-13,12:36,BEAR,363,6664.5,339,WIN,10.25,9,18.25,0.0,0.0,4.0,3.0,0.8717935921748676,1.5957796852646637,5.75,9.5,0.6,1.0,3.0,480.0,1.3331543618309971,0.7666666666666667,0.7375213871419128,0.0,1.0,1.0,1.0,0.85,0.5988769574553998,BofA-LIS,,-0.67,
2026-03-13,13:12,BEAR,387,6660.25,734,WIN,0.5,8,8.5,0.0,0.0,12.0,2.0,0.0,0.0,10.25,11.75,0.8,2.0,3.0,1202.0,3.3041530071049756,1.0,-0.2415485699161328,0.0,1.0,0.0,0.8133333333333334,0.75,0.55,BOFA-MESSY,,-0.54,
2026-03-13,13:49,BULL,409,6636.75,-401,WIN,6.25,11,14.25,0.0,0.0,7.0,6.0,0.0,0.0,-14.0,-19.5,0.8,3.0,4.0,-1508.0,-1.5778293244628674,0.8666666666666667,2.408032700048688,1.0,-1.0,-1.0,0.0,1.0,0.6351886216308579,GEX-LIS,6646.0,-0.54,9.25
2026-03-13,15:33,BULL,445,6634.5,-1012,LOSS,-7.0,2,1.0,0.0,0.0,1.0,9.0,0.0,0.0,-12.75,-14.25,0.8,1.0,6.0,-2651.0,-3.677695153897467,1.0,-0.7573321945421063,0.0,-1.0,-1.0,0.0,0.85,0.6100000000000001,BOFA-PURE,,-0.44,
2026-03-16,10:38,BULL,256,6696.5,388,LOSS,-3.25,5,4.75,0.0,0.0,10.0,14.0,-0.7759048844106192,0.0,-9.25,-20.5,0.8,3.0,1.0,388.0,1.824896919338464,0.8666666666666667,0.15382225825471707,0.0,-1.0,-1.0,0.0,0.25,0.6116597946225644,BOFA-PURE,,-1.91,
2026-03-16,11:57,BULL,292,6700.25,-709,LOSS,-3.0,15,5.0,0.0,0.0,1.0,8.0,0.0,0.0,-6.75,-15.5,0.8,1.0,2.0,-1006.0,-3.0628129588724073,1.0,7.586164371591125,1.0,-1.0,0.0,0.03614457831325301,0.85,0.6699999999999999,AG-PURE,6715.0,-2.46,14.75
2026-03-16,12:21,BULL,308,6690.5,-494,LOSS,-3.75,3,4.25,0.0,0.0,8.0,7.0,0.0,0.0,-13.5,-9.75,0.6,2.0,5.0,-1212.0,-1.964479349195142,0.9333333333333333,2.4147694790028678,1.0,-1.0,-1.0,0.0,1.0,0.6509652899463428,BOFA-PURE,,-1.94,
2026-03-18,10:25,BULL,150,6729.0,-576,LOSS,-7.25,2,0.75,0.0,0.0,3.0,5.0,0.0,0.0,-9.75,-12.25,0.6,3.0,4.0,-1073.0,-2.2147254256462627,0.9666666666666667,4.514989706757204,1.0,-1.0,-1.0,0.0,0.8,0.6376483617097508,AG-TARGET,6708.0,0.51,21.0
2026-03-18,12:33,BULL,202,6725.75,-802,WIN,1.0,9,9.0,0.0,0.0,2.0,4.0,0.0,0.0,-6.25,-2.5,0.6,2.0,3.0,-1401.0,-2.756335510107722,0.9333333333333333,26.315277162150963,1.0,-1.0,-1.0,0.0,1.0,0.6437557006738481,SIDIAL-EXTREME,,0.63,
2026-03-18,14:00,BEAR,228,6737.5,727,WIN,2.0,5,10.0,1.0,0.0,5.0,9.0,0.0,0.0,13.5,13.5,0.8,4.0,3.0,1382.0,1.1976019102484012,0.8333333333333334,5.185019557924431,1.0,1.0,1.0,1.0,0.7,0.5798401273498934,SIDIAL-EXTREME,,0.69,
2026-03-18,14:15,BULL,238,6720.5,-487,LOSS,-2.5,5,5.5,0.0,0.0,1.0,6.0,0.0,0.0,-10.75,-8.75,0.8,1.0,2.0,-854.0,-1.7220664319045076,0.7666666666666667,24.966936813491074,1.0,-1.0,0.0,0.24444444444444444,1.0,0.5848044287936338,SIDIAL-EXTREME,,0.53,
